في	in/ within	fī
عامة	the major or most general part (of)/ the majority or generality…	ʕāmma
صاحب	associate/ companion/ comrade/ friend	ṣāḥib
الإسلام	Islam/ the religious system advocated by Muhammad	al-ʔislām
العلم	to know/ to have knowledge/ to be cognizant/ to be aware	ʕalima
فتح	to open (“to make something accessible”)	fataḥa
طريقة	manner/ mode/ means	ṭarīqa
الترحيب	verbal noun of رَحَّبَ (raḥḥaba) (form II): the act of welcoming/…	tarḥīb
ظل	shadow/ shade	ẓill
فقال	to say	qāla
عربية	female equivalent of عَرَبِيّ (ʕarabiyy/ “Arab person”)	ʕarabiyya
الماضية
محمود	praised	maḥmūd
الجزائر	Algeria (a country in North Africa)	al-jazāʔir
الحزب	political party	ḥizb
الرياضية
احمد		iḥmad
طلب	to search/ to look	ṭalaba
ايضا
قطر	to drip/ to dribble/ to trickle	qaṭara
التصميم	verbal noun of صَمَّمَ (ṣammama) (form II)	taṣmīm
المناطق	plural of مِنْطَقَة (minṭaqa)	manāṭiq
دروس	plural of دَرْس (dars)	durūs
السلطة	power/ strength	sulṭa
مؤسسة	foundation/ establishment	muʔassasa
أعمال	plural of عَمَل (ʕamal)	ʔaʕmāl
آل	family	ʔāl
حق	to be true/ to be confirmed	ḥaqqa
عضو	organ	ʕuḍw or ʕiḍw
الجميع	whole/ entire/ all	jamīʕ
بيروت	Beirut (the capital city of Lebanon)	bayrūt
قناة	channel/ canal	qanāh
نشر	to spread out/ unroll/ exhibit	našara
الهيئة	form/ shape	hayʔa
يوليو	July (seventh month of the Gregorian calendar)	yūlyū or yūlyō
دائما	always	dāʔiman
بنات	plural of بِنْت (bint)	banāt
أرشيف	archive	ʔaršīf
العسكرية	female equivalent of عَسْكَرِيّ (ʕaskariyy)	ʕaskariyya
حل	to unfasten/ to untie/ to unknot/ to unravel/ to disentangle/ to…	ḥalla
وإن	if (possible/ not contrary to fact)	ʔin
الي
مليار	billion (10⁹)	milyār
الكتب	to mark (symbols/ shapes/ graphs/ glyphs/ letters/ and the like)…	kataba
القرار	verbal noun of قَرَّ (qarra/ “to be established/ settled”) (form I)	qarār
قصص	narrative	qaṣaṣ
السودان	Sudan (a country in North Africa and East Africa)	as-sūdān
الحريري
النائب	representative/ delegate	nāʔib
بشأن	thing/ matter/ affair	šaʔn
البرنامج	agenda	barnāmaj
البيت	house/ building	bayt
زيادة	verbal noun of زَادَ (zāda) (form I)	ziyāda
تعمل	to be tired	taʕammala
الطريق	way/ road/ path/ track/ street	ṭarīq
القدس	Jerusalem (a city in the Holy Land between the Mediterranean Sea…	al-quds
العاصمة	capital city	ʕāṣima
الفلسطيني	Palestinian	filasṭīniyy
مدونتك
نائب	representative/ delegate	nāʔib
تنظيم	verbal noun of نَظَّمَ (naẓẓama) (form II)	tanẓīm
المختلفة	feminine singular of مُخْتَلِف (muḵtalif)	muḵtalifa
لهذه	feminine singular of هٰذَا (hāḏā)	hāḏihī
عين	eye (organ)	ʕayn
وكالة	agency	wakāla
يوسف	Joseph/ a Hebrew patriarch	yūsuf
نسبة	verbal noun of نَسَبَ (nasaba) (form I)	nisba
الاولى
الكبير	big/ large	kabīr
الطبية
عليك	first-person singular masculine of عَلَى (ʕalā)	ʕalayka
إضافة	verbal noun of أَضَافَ (ʔaḍāfa) (form IV)	ʔiḍāfa
خارج	active participle of خَرَجَ (ḵaraja)	ḵārij
التجارية
تكلفة	verbal noun of كَلَّفَ (kallafa) (form II)	taklifa
كثيرا	a lot/ many/ much	kaṯīran
القطاع	section/ sector	qiṭāʕ
ساعة	hour (unit of time)	sāʕa
مباشرة	verbal noun of بَاشَرَ (bāšara) (form III)	mubāšara
المؤتمر	conference/ congress/ convention	muʔtamar
رسالة	message	risāla
الإلكتروني	electronic	ʔiliktrūniyy
شبكة	net/ fishing net	šabaka
وقالت		qālat
الرجل	to go on foot/ to walk	rajila
مستشفى	hospital	mustašfan
البحرين	Bahrain (a nation in Asia)	al-baḥrayn
صالح	in good condition/ sound/ whole	ṣāliḥ
يتعلق		form V
الفني	to perish/ to pass away	faniya
وكل	to authorize/ empower/ put someone [+direct object] in charge of…	wakkala
كامل	complete/ full	kāmil
الأحد	Sunday	al-ʔaḥad
روسيا	Russia (a transcontinental country in Eastern Europe and North Asia)	rūsiyā
المواطنين
بيع	verbal noun of بَاعَ (bāʕa) (form I)	bayʕ
أعضاء	plural of عُضْو (ʕuḍw) and عِضْو (ʕiḍw)	ʔaʕḍāʔ
بينهم
سعد	to be fortunate	saʕada
مايو	May (fifth month of the Gregorian calendar)	māyū
سيارات	plural of سَيَّارَة (sayyāra)	sayyārāt
فبراير	February (second month of the Gregorian calendar)	fibrāyir
لاين
الاسلامي
انها
هؤلاء	plural of هٰذَا (hāḏā/ “this”): these	hāʔulāʔi
الإعلام	verbal noun of أَعْلَمَ (ʔaʕlama) (form IV)	ʔiʕlām
جهة	side/ point of view	jiha
الجمعية	association/ club/ society/ assembly	jamʕiyya
احدث		uḥduṯ
اخرى
مدى	to stretch/ extend	madā
القصص	narrative	qaṣaṣ
لمدة	period of time/ interval	mudda
الشخصية	personality	šaḵṣiyya
جزر	carrots	jazara
عقد	to tie/ knit/ make a knot	ʕaqada
الفصل	verbal noun of فَصَلَ (faṣala) (form I)	faṣl
مختلفة	feminine singular of مُخْتَلِف (muḵtalif)	muḵtalifa
ديسمبر	December (twelfth month of the Gregorian calendar)	dīsimbir or dīsambir or dīsambar or dīsimbar
حواء	Eve/ the first woman in Abrahamic religions	ḥawwāʔ
دبي	Dubai (a city in the United Arab Emirates/ the capital of Dubai…	dubayy
قضية	case/ lawsuit	qaḍiyya
المال	obsolete spelling of مَا لِ (mā li)	māli
سعيد	happy/ cheerful/ joyous	saʕīd
يعد		form I
العليا	feminine singular of أَعْلَى (ʔaʕlā/ “higher/ highest/ loftiest/…	ʕulyā
زيارة	verbal noun of زَارَ (zāra/ “to visit”) (form I)	ziyāra
لأنه		form IV
الصين	China (a region and country in East Asia)	aṣ-ṣīn
مشيرا
الزرقاء	Zarqa (Jordanian city)	az-zarqāʔ
فرنسا	France (a country located primarily in Western Europe)	faransā or firansā
لقاء	verbal noun of لَقِيَ (laqiya) (form I)	liqāʔ
علوم	plural of عِلْم (ʕilm)	ʕulūm
فوق	above	fawqu
مدرسة	school/ academy	madrasa
بني	brown/ coffee-colored	bunniyy
تحكم	to have one's own way/ to domineer	taḥakkama
الأسرة	family	ʔusra
وسائل	plural of وَسِيلَة (wasīla)	wasāʔil
التقنية	technique	tiqniya
اللبناني	Lebanese	lubnāniyy
سكس
اللقاء	verbal noun of لَقِيَ (laqiya) (form I)	liqāʔ
الثقافة	verbal noun of ثَقُفَ (ṯaqufa) (form I)	ṯaqāfa
إعادة	verbal noun of أَعَادَ (ʔaʕāda) (form IV)	ʔiʕāda
المنتخب	elected candidate	muntaḵab
الصورة	form/ shape/ figure	ṣūra
الحب	to love/ to like	ḥabba
اجهزة
الحالي
أمر	to order/ to command/ to bid/ to instruct	ʔamara
الفنية	female equivalent of فَنِّيّ (fanniyy)	fanniyya
دكتور	doctor	duktūr
إيران	Iran (a country in West Asia)	ʔīrān
اهم
مكتب	maktab/ elementary school	maktab
مباشر	active participle of بَاشَرَ (bāšara)	mubāšir
الرابعة
للمنتدى	place whither the people are called together/ gathering place/…	muntadan
الوضع	to put/ to lay/ to place/ to set/ to position/ to install/ to implant	waḍaʕa
بطولة	verbal noun of بَطُلَ (baṭula) (form I)	buṭūla
الإنترنت
المباراة	verbal noun of بَارَى (bārā) (form III)	mubārāh
حد	to prevent/ to restrain/ to check/ to hinder	ḥadda
اول
وغيرها
الألعاب	plural of لَعْب (laʕb)	ʔalʕāb
وحتى	until/ as far as/ to the point of/ even up to	ḥattā
تعديل	verbal noun of عَدَّلَ (ʕaddala) (form II)	taʕdīl
الغربية	Gharbia (a governorate of Egypt)	ḡarbiyya
رشد	to go the right way/ to follow the right course	rašada
النواب	plural of نَائِب (nāʔib)	nuwwāb
رفع	to lift/ to raise aloft/ to hoist up/ to heave up	rafaʕa
بذلك	that (demonstrative pronoun)	ḏālika
الاحتلال	Israel	iḥtilāl
النساء	longevity/ long life	nasāʔ
امام
الصحية	feminine singular of صِحِّيّ (ṣiḥḥiyy)	ṣiḥḥiyya
المشروع	kosher	mašrūʕ
كم	how many?/ how much? (used with accusative noun in singular/ if…	kam
العملية	work	ʕamaliyya
وعلاجه
دليل	sign/ indication/ proof/ demonstration/ evidence/ argument	dalīl
السلطات	plural of سُلْطَة (sulṭa)	suluṭāt
تعليم	verbal noun of عَلَّمَ (ʕallama) (form II)	taʕlīm
قرية	any populated area or the community thereof	qarya
الدعم	to support	daʕama
الخدمة	verbal noun of خَدَمَ (ḵadama) (form I)	ḵidma
الشعبية	feminine singular of شَعْبِيّ (šaʕbiyy)	šaʕbiyya
ع	The eighteenth letter of the Arabic alphabet/ written in the…	/ʕajn/
إبراهيم	Abraham	ʔibrāhīm
شكل	to hobble (an animal)	šakala
امس
العلمي	related to knowledge	ʕilmiyy
صحة	health	ṣiḥḥa
وبين	between (“in the position or interval that separates two things”)	bayna
قائمة	list (“enumeration or compilation of a set of possible items”)	qāʔima
احد
مصدر	verbal noun of صَدَرَ (ṣadara) (form I)	maṣdar
عالية	feminine singular of عَالٍ (ʕālin)	ʕāliya
بأنه		form IV
البعض	some/ part	baʕḍ
معرض	place where something appears or is shown	maʕriḍ
ابو
ماء	water	māʔ
الشهر	month (unit of time)	šahr
وظائف	plural of وَظِيفَة (waẓīfa)	waẓāʔif
اسرائيل	unhamzated form of إِسْرَائِيل (ʔisrāʔīl): Israel (a country in…	ʔisrāʔīl
مؤتمر	conference/ congress/ convention	muʔtamar
الحق	to be true/ to be confirmed	ḥaqqa
الصلاة	verbal noun of صَلَّى (ṣallā) (form II)	ṣalāh
مكافحة	verbal noun of كَافَحَ (kāfaḥa) (form III)
صباح	the time from sunrise to noon/ morning	ṣabāḥ
ذكر	to mention	ḏakara
وأكد	to assure	ʔakkada
كشف	to remove/ to uncover/ to reveal	kašafa
حياة	verbal noun of حَيِيَ (ḥayiya) (form I)	ḥayāh
النار	definite singular of نَار (nār/ “fire”)	an-nār
لسنة	year	sana
علاج	verbal noun of عَالَجَ (ʕālaja) (form III)	ʕilāj
رجال	plural of رَجُل (rajul)	rijāl
يعمل		form I
قالت		qālat
سليمان	Solomon	sulaymān
دار	flowing copiously	dārr
ضرورة	necessity/ compulsion/ want/ exigency	ḍarūra
بنسبة	verbal noun of نَسَبَ (nasaba) (form I)	nisba
أسعار	plural of سِعْر (siʕr)	ʔasʕār
جهاز	equipment/ device/ appliances/ outfit/ gear/ rig	jihāz or jahāz
الواقع	active participle of وَقَعَ (waqaʕa/ “to happen”)	wāqiʕ
التنمية	verbal noun of نَمَّى (nammā) (form II)	tanmiya
الخليج
الأمم	United Nations	al-ʔumam
رجل	to go on foot/ to walk	rajila
تنفيذ	verbal noun of نَفَّذَ (naffaḏa) (form II)	tanfīḏ
الاقتصاد	verbal noun of اِقْتَصَدَ (iqtaṣada) (form VIII)	iqtiṣād
الحركة	definite of حَرَكَة (ḥaraka)	al-ḥaraka
جمعية	association/ club/ society/ assembly	jamʕiyya
ليزك
دي
مناطق	plural of مِنْطَقَة (minṭaqa)	manāṭiq
للسنة	year	sana
الأقسام	plural of قِسْم (qism)	ʔaqsām
ام	dialectal form of اَلْ (al-)	am-
المحكمة	court	maḥkama
أنك		form I
البحر	verbal noun of بَحَرَ (baḥara) (form I)	baḥr
لكرة	ball	kura
الأمير	prince	ʔamīr
منظمة	organization (an organized group of people)	munaẓẓama
العراقية	Iraqiness/ the state of being Iraqi	ʕirāqiyya
الحبيب	beloved	ḥabīb
خصوصا	especially/ particularly	ḵuṣūṣan
تمثل	to make oneself similar/ to assimilate oneself	tamaṯṯala
الإمام	leader/ example/ exemplar/ paragon	ʔimām
وجه	to be a man of distinction/ to be notable	wajuha
قوله
الشاعر	poet	šāʕir
دينار	dinar	dīnār
إليها	to her/ to it	ʔilayhā
عنوان	title (of book) — and "anything that serves as an indication of…	ʕunwān or ʕinwān
تونس	Tunisia (a country in North Africa)	tūnus or tūnis
قتل	to kill/ to slay/ to murder	qatala
دخول	verbal noun of دَخَلَ (daḵala) (form I)	duḵūl
أشهر	to make known/ to proclaim/ to announce	ʔašhara
الفرنسي	French	faransiyy
يوما	once (in the past)/ once upon a time	yawman
درجة	stair/ step	daraja
الأسبوع	week (unit of time)	ʔusbūʕ
بدأت		form I
الوصول	verbal noun of وَصَلَ (waṣala/ “arrive”) (form I)	wuṣūl
مجانية	feminine singular of مَجَّانِيّ (majjāniyy)	majjāniyya
صحيح	complete/ perfect/ whole	ṣaḥīḥ
عيد	feast/ holiday/ festival	ʕīd
الانترنت
اون
وفقا
ونحن	we (subject pronoun)	naḥnu
جمال	verbal noun of جَمُلَ (jamula) (form I)	jamāl
عمان	Oman (a country in West Asia in the Middle East)	ʕumān
الطاقة	power/ strength/ fortitude/ endurance	ṭāqa
بالعين	eye (organ)	ʕayn
أعلن	to publish/ to publicize/ to reveal to the public/ to announce	ʔaʕlana
ليبيا	Libya (a country in North Africa)	lībiyā
أغسطس	August (eighth month of the Gregorian calendar)	ʔaḡusṭus
قوة	verbal noun of قَوِيَ (qawiya) (form I)	quwwa
كيفية	howness	kayfiyya
لذا	this	ḏā
أنواع	plural of نَوْع (nawʕ) types/ species	ʔanwāʕ
الحدود	plural of حَدّ (ḥadd)	ḥudūd
ا	Although usually considered to be the first letter of the Arabic…	/ʔa.lif/
تشرين	October (tenth month of the Gregorian and Julian calendars)	tišrīn
الوزير	minister/ cabinet minister	wazīr
الصوتيات	phonetics	ṣawtiyyāt
ثلاث	masculine of ثَلَاثَة (ṯalāṯa/ “three”)	ṯalāṯ
الرسمي	official/ legitimate	rasmiyy
تقرير	verbal noun of قَرَّرَ (qarrara/ “to establish/ assign/ decide/…	taqrīr
الشرقية	Sharqia (a governorate of Egypt)	aš-šarqiyya
التعليمية
وفق	to find fit	wafiqa
الآخر	last/ ultimate/ utmost/ extreme	ʔāḵir
الدور	to turn in a circle/ to spin/ to whirl/ to revolve/ to rotate	dawwara
مساعدة	verbal noun of سَاعَدَ (sāʕada) (form III)	musāʕada
تفسير	verbal noun of فَسَّرَ (fassara) (form II)	tafsīr
صفحة	page	ṣafḥa
هاتف	shouting/ calling loudly	hātif
الطلاب	plural of طَالِب (ṭālib)	ṭullāb
اخر
إطار	frame/ framework (also from doors and eyewear/ and about things…	ʔiṭār
النفط	oil/ petroleum/ naphtha	nifṭ or nafṭ
وعدم	to lack/ not to have	ʕadima
الرابع
الرياضي	of or pertaining to sports	riyāḍiyy
الفن	genre	fann
تماما	completely	tamāman
المجموعة	collection/ compilation/ anthology	majmūʕa
واشنطن	Washington/ Washington/ D.C. (the capital city of the United States)	wāšinṭun
الدورة	rotation/ gyration/ cycle/ circuit/ circulation (with all kinds of…	dawra
الدينية	feminine singular of دِينِيّ (dīniyy)	dīniyya
نظر	to look/ to gaze/ to glance	naẓara
شرق	east/ Orient	šarq
العلاج	verbal noun of عَالَجَ (ʕālaja) (form III)	ʕilāj
المتواجدون
المستقبل	future	mustaqbal
كثير	many/ much/ numerous	kaṯīr
وحدة	unit (a standard measure of a quantity)	waḥda
الإلكترونية	feminine singular of إِلِكْتْرُونِيّ (ʔelektrōniyy)	ʔelektrōniyya
ومع	with/ together with/ accompanied by/ in the company of	maʕa
يريد		form IV
العراقي	Iraqi	ʕirāqiyy
الجهاز	equipment/ device/ appliances/ outfit/ gear/ rig	jihāz or jahāz
سياسة	verbal noun of سَاسَ (sāsa) (form I)	siyāsa
الاخبار
الأوسط
حرب	to be enraged/ to be furious/ to be angry	ḥariba
لدينا		form II
أهمية	importance/ significance	ʔahammiyya
أبريل	April (fourth month of the Gregorian calendar)	ʔabrīl
البلد	country/ land/ homeland	balad
علينا		form I
حماية	verbal noun of حَمَى (ḥamā) (form I)	ḥimāya
