何	what
大金	huge sum of money
速度	speed/ velocity
今年	this year/ the present year
使命	mission/ errand/ message
数字	a digit (numeral)
独り	one person
術	art
中身	physical contents
座れ	to sit/ to have a seat
登	a male given name
応援	support
世間	society/ public
不幸	unfortunate
アニー
済み	finish/ completion/ conclusion
理論	theory
不能	incompetent
訪問	a visit
貴重	valuable/ worthful/ precious
正	correct
連れ出
安	calm/ peaceful
阻止	blocking/ thwarting/ prevent/ hindrance/ impedance or impediment
外出	going out
処分	disposal
アレ	あれ/ アレ: (informal/ euphemistic) "you know what I mean"
少佐	a major
来週	next week
権力	power/ authority
両手	both hands/ one's two hands
優れ	to be good at (something)/ to be superior to (someone)
共有	sharing
載	a hundred-tredecillion (10⁴⁴)
死刑	capital punishment
余計	excessive/ unnecessary/ unneeded/ superfluous
無罪	innocence
深刻	serious/ deep/ heavy (topic)/ profound (change)/ weighty (matter)
対策	plan/ measure/ step/ countermeasure
運動	athletics/ exercise
係	person in charge/ person responsible
東京	Tokyo (a prefecture/ the capital city of Japan/ consisting of 23…
愛し	to love
浮気	fickle/ unfaithful/ disloyal
登録	registration
発作	paroxysmal attack/ epileptic seizure/ a fit of coughing
権限	authority/ jurisdiction
か月	counter for months/ used to express a period of time numbered in…
輸送	transportation
中央	center/centre/ middle
あんまり
集団	group
引っ張
何百
限界	limit (boundary)
下げ	to hang/ lower
波	a wave
何事	what sort of matter
ありがた
相当	corresponding
岩	rock
着替え	changing clothes
趣味	a hobby (activity done for enjoyment in spare time)
全力	utmost/ full power
解除	cancellation of an order or contract
計算	calculation
降	to descend
映	a reflection/ to reflect
財布	a container for one's money: a wallet/ a coin purse/ a billfold/ a…
不満	dissatisfied
代理	surrogation/ proxy
去年	last year
賞	prize
一言	a (single) word/ a few words
連続	The act of following in sequence/ succession.
太	fat
最新	the latest/ the newest
金属	metal
とりあえず	at once/ first of all/ for the time being
教	to teach/ teachings/ doctrine
イタリア	Italy (a country in Southern Europe)
関与	involvement
人気	popularity
生き延び	to survive
下ろ
通常	ordinary/ conventional/ normal
巡査	police officer (lowest police rank)
報酬	remuneration/ reward/ recompense
署名	signature
一族	those who belong to the same family or clan
反逆	revolt/ rebellion
助手	assistant/ helper
過ち	fault/ error/ mistake
美人	a beautiful woman/ a beauty/ a belle
進行	an advance/ progress
民間	private/ non-governmental
余地	room/ margin/ space/ vacant
選挙	election
悲劇	tragedy (type of theatrical work)
含	include/ contain
財産	property/ fortune/ riches
離せ	to separate/ to isolate/ to disconnect/ to keep apart
共通	common/ shared
滞在	stay
初め	beginning/ the start of an activity or time period
合図	signal/ cue
国際	The quality of being international.
事業	project/ work
当時	then/ at that time
成	to become
電源	electric power source/ power supply
強制	compulsion/ imposition/ enforcement/ coercion
革命	a revolution/ a coup d'état
潜入	infiltration
公平	impartial/ fair
公式	formality/ officiality
復活	revival/ return to life
派	group/ faction/ (political) wing/ school
尾行	tailing/ shadowing
軍事	military matters
合衆
含め	include/ contain
結	tie/ fasten
物事	things/ everything
勿論	of course/ naturally/ certainly
念	idea/ thought
英国	synonym of イギリス: United Kingdom (a kingdom and country in Northern…
分け	division/ share
地面	ground (surface of the Earth)
単に	simply/ only
一瞬	an instant
共同	cooperation/ collaboration/ joint (e.g./ joint research/ joint…
販売	sale/ selling
体験	experience
用事	errand/ business
存	exist
身分	social position/ social status/ social standing
集会	assembly/ congregation
火事	a fire (damaging occurrence of fire)
車両	rolling stock/ railcar/ subway car/ etc.
挑戦	challenge (against authority or a higher-ranked person)
叔母	aunt (younger than one’s parent)
配達	delivery/ distribution
入手	obtaining/ coming to hand
資格	qualification
判事	judge
小説	novel/ story/ fiction
呪文	an incantation/ a spell/ an enchantment
美味し
女房	a woman who works in the imperial household and is granted…
反乱	rebellion/ uprising/ revolt
マリア	Mary
重大	important/ significant
聖	holy/ sacred
産	to be born
通過	passage through an object
正常	normal
アマンダ
支え	support
軍人	a person related to the armed force (a serviceman/ a soldier/ an…
期間	duration/ period
アーロン
加わ
五	five
医学	medicine (field of study)/ medical science
不要	unnecessary
天	heavens/ sky
馬鹿げ	come off as stupid/ look dumb
調整	coordination/ regulation/ adjustment
執行	performance/ execution/ exercise
製	make
補	supplement
必死	mortal
バウアー
不正	improper/ unjust/ fraudulent/ dishonest
クリア	clear
用件	something that needs to be said or done/ business/ matter
薬物	drug
創造	creation: the making of things
乗り越え	to climb over
規模	scale/ scope/ extent/ dimension
悪化	aggravation/ deterioration/ degeneration/ corruption
置き去り	abandoning someone or something and going away
言い訳	excuse
業	work/ business/ task/ profession
申し上げ	to say/ humble equivalent of 言う (iu)
制服	uniform
顧客	regular customer/ patron
護衛	a guard/ an escort
無人	shorthanded/ lack of help
信仰	belief/ faith
防	dam/ embankment
造	create/ make/ physique/ structure
当局	authority (persons in command/ specifically/ government)
告発	accusation/ complaint (that someone has done something wrong)
設定	setup/ establishment/ creation
正解	correct answer
変身	a transformation of one's appearance
工作	handicraft/ industrial art/ woodwork
処刑	execution (taking of life as punishment)
役割	role
一員	one member of a group
発砲	firing of a gun
女子	girl/ woman
電子	electron
結論	conclusion (decision reached after careful thought)
真面目	serious/ earnest
予測	prediction
修正	revision/ correction/ amendment/ making changes to correct or improve
対象	object/ target (of worship/ study/ etc.)/ subject (of taxation/ etc.)
一時	one o'clock
風呂	bath/ bathtub
取り出
手錠	handcuffs (metal rings for fastening wrists)
牧師	clergyman/ pastor/ minister/ etc.
半沢	a surname
実現	implementation/ materialization/ realization
区	ward/ section/ district
種族	a race
時点	point (in time)
代わ
土曜	planet Saturn
広が
戦え
指令	direction/ order
生き物	synonym of 生物 (seibutsu/ “organism/ life form”)
美術	fine arts
自慢	pride
舞台	stage
上げろ
質	seven
交通	transportation
引き起こ
建て	to build/ to construct
上昇	ascent/ rise
心理	mental state/ mentality
楽しめ	to enjoy oneself
検討	consideration
勤務	work/ duty/ service at a company etc.
作用	action/ operation
料	to anticipate/ to expect (はかる)
付き	to attach itself to/ to stick (to)/ to adhere (to)/ to be…
隠れ家	out-of-the-way place
隊長	leader/ commander/ captain
世代	generation
前進	advance/ advancement/ progress
決まり	to be decided/ to be concluded/ to be brought to a resolution
繭子
死因	cause of death
続き	to continue
酸素	oxygen (chemical element)
凶器	deadly item/ weapon
引き受け	accept a responsibility/ undertake/ take on
助言	advice (opinion recommended or offered/ as worthy to be followed/…
国王	king
外科	surgery (medical specialty)
取り引き	transaction
此処	here/ this place/ area/ or part (near the speaker) (Can be…
支払い	pay (money)
背後	behind/ back side
図書	books
際	edge/ verge/ side (きわ)
症状	a symptom
話しかけ
引きず
用心	care/ caution
転送	transfer/ sending on
公開	opening/ release/ exhibition
商売	business
隔離	isolation/ separation
理想	an ideal
月曜	the moon
派遣	deployment
並	something medium/ average/ common/ ordinary
表現	expression (by words/ facial/ attitude)
ジュニア	junior
乗客	passenger
初めまして	pleased to meet you/ nice to meet you/ how do you do
目指	a gaze/ look
年齢	someone's age
虐殺	massacre/ slaughter
アン	案: plan/ scheme
問	question/ inquiry
悪党	villain
争	conflict/ quarrel
使い	to use
現	present
本人	the person themselves/ that person himself or herself/ the person…
十	ten/ 10
報道	news report/ news/ coverage/ reportage
分離	separation
発信	a broadcast/ providing information
印象	impression
正面	front/ façade (as of a building)
面会	face-to-face meeting
ヵ月	counter for months/ used to express a period of time numbered in…
上院	an upper house
目立
戦略	strategy
下り	to descend/ to go down
艦長	captain of a warship or submarine
心当たり	inkling (knowledge)
引退	retirement
金融	finance
無くな
何千	thousands
婦人	wife
供給	supply/ provision
同盟	union/ alliance
毎晩	every evening
族	tribe
商品	item or commodity for sale/ merchandise
見当	estimate/ guess
職員	staff/ personnel member
正式	formal/ official
近づけ
一切	all/ entirety/ the whole/ everything
祖母	grandmother
群れ	群れ: group of animals such as a pack/ flock/ herd/ bevy/ school/ etc.
皇帝	emperor (of a country other than Japan)
王女	a princess (king's daughter)
共和	collaboration/ cooperation/ working together in harmony
自転	rotation around a fixed axis
アブ
テア
世の中	the society made of living people of the world:
級	rank
引っ越
魔術	spellcraft/ sorcery/ witchcraft
死人	a dead person/ the dead
進化	evolution
直ちに	immediately/ instantly
期	appointed time/ occasion (とき)
北部	northern part/ northern area
充分	enough/ plenty/ sufficient
部長	A department chief within a company/ analogous to a vice president…
祝福	a celebration of happiness
アイリス
庁	government office/ agency
アウト	out/ state in which a batter is removed from play
給料	salary
同情	sympathy
議会	a legislature (governmental body)
黄色	yellow
外国	foreign country
作動	operation/ running
手掛かり	hint/ clue/ lead
大臣	a government minister of Japan or ancient China
話題	topic/ subject of conversation
校長	principal or headteacher of a school
恋愛	love/ especially romantic or erotic love
追加	addition/ supplement
検索	retrieval/ searching
連行	accompaniment (of a suspect by the police)
立ち上が
建設	construction/ building (of a dam/ bridge/ or other large project)
数百
成果	accomplishments/ results/ achievements
発言	comment
苦手	bad (at)/ poor (at)/ weak (at)/ uncomfortable with
画像	a portrait/ one's likeness
取り組
何時	when
類	kind/ sort/ type/ class/ genus/ order/ family
株	stump of a tree
司法	justice/ judiciary/ a national function
双子	twins
放棄	abandonment/ giving up
出番	one's turn
電車	an electric multiple unit train
玄関	the front entrance of a Japanese home/ usually recessed into the floor
