de	of (expresses belonging)
partez	to share/ to share out/ to divide
utilisé	to use/ to utilize
mur	wall
pose	to stop carrying/ to put down (something or somebody)
revenu	to come back/ to return
deuxième	second
bande	to bandage
asseyez-vous	to sit (someone) down/ to seat/ make sit
certaines	certain/ guaranteed (sure/ positive)
ridicule	ridiculous (all meanings)
nord	north
appelez	to call (out)
copine	friend/ chum/ mate (UK)/ pal/ buddy
baiser	to kiss
anglais	English language
henry	henry
toilettes	plural of toilette
portes	to carry
faudra	to need/ have to/ to be necessary (that)
occupé	busy
grands	big
and
dérange	to bother/ to disrupt
rôle	role
censé	synonym of estimer /penser
savez-vous
james	a male given name
reine	king
croit	to believe (someone)
cour	courtyard/
église	church
vide	empty
obtenir	to get/ to obtain
conneries	foolish act
ennuis	boredom/ lassitude
personnel	personal
conduire	to drive (a vehicle)
tombé	to fall
sol	soil/ earth
code	code
huit	eight
avions	to have/ to own/ to possess/ to get
espoir	hope
comprenez	to understand/ comprehend
spécial	special
vidéo	video
vêtements	garment/ item of clothing
défense	defence (action of defending or protecting from attack/ danger or…
alex	a male or female given name/ equivalent to English Alex
sud	south
grand-mère	grandmother
match	match/ game
bombe	to bulge
intéresse	inflection of intéresser:
zone	zone
tante	aunt
paraît	to appear (become visible)
excuser	to excuse (to forgive/ to pardon)
magasin	shop/ store
marier	to marry/ to marry off/ to perform or cause the marriage of
chère	dear/ honey/ hon
aie	to have/ to own/ to possess/ to get
souvenir	to remember
proche	close/ near/ closeby/ nearby (to a place)
revient	to come back/ to return
danny
douleur	pain
arrivera	to arrive (often followed by a location)
presse	to urge
merveilleux	marvelous/ brilliant
asseoir	to sit (someone) down/ to seat/ make sit
ravi	thrilled/ overjoyed/ delighted/ ravished/ chuffed
aimais	to love (usually of a person/ otherwise the meaning is closer to…
amérique	America/ the Americas (a supercontinent consisting of North…
fenêtre	window
mien	(of) mine/ my own
terrain	ground/ landscape
sergent	sergeant
peux-tu
projet	project
quartier	quarter/ district (part of town)/ neighbourhood
planète	planet
certainement	certainly (with certainty/ without doubt)
rapide	fast/ rapid
lorsque	when (at a time when)
assurer	to assure/ to ensure/ to make sure
rendu	to give back
mignon	cute (of a baby/ an animal/ etc.)
tourne	to turn (left/ right etc.)
danser	to dance
bob	bucket hat/ fishing hat
clients	client/ retainer/ follower (person who is under the patronage of…
petites	small
aimez	to love (usually of a person/ otherwise the meaning is closer to…
présenter	to present/ to introduce
importance	importance
venus	masculine plural of venu
jimmy
sache	inflection of savoir:
mérite	to deserve/ merit
machine	machine/ device
derniers	last
programme	a program (set of structured activities)
mesdames	a title or form of address for a woman/ formerly for a married…
meilleurs	comparative degree of bon ("better")
honnête	honest (scrupulous with regard to telling the truth)
essayez	to test/ to try on
irai	to go
connard	bastard/ jerk/ asshole
occasion	occasion/ opportunity
prouver	to prove
travaillé	to work
glace	ice
ayez	to have/ to own/ to possess/ to get
parie	to bet (make a guess about the outcome of an event)
camion	lorry (UK)/ truck (US)
fier	proud/ gratified/ honoured
discuter	to argue/ to debate
village	village
spectacle	a show/ a spectacle/ a performance/ a concert
d	The fourth letter of the French alphabet/ written in the Latin script.
nul	no/ none
rose	rose (flower)
touché	past participle of toucher
mangé	to eat
vis	to see (visually)
parole	speech/ language (the faculty of using spoken language to…
rencontre	to meet
apprécie	to appreciate
jane
réalité	reality/ actuality/ truth
savons	to know (something)
respect	respect
remettre	to put back/ replace
vacances	vacancy
détruire	to destroy
choisir	to choose
ha	ha (exclamation of surprise or laughter)
découvrir	to discover
idées	idea
officier	to officiate
frères	brother (relation/ relative)
sert	to serve (to help in a shop/ to bring a meal to someone)
bill	bill (draft UK law)
solution	solution
informations	piece of information]
attendais	to wait for/ to await
monstre	monster
sexy	sexy
ordinateur	a computer/ a computing device.
retrouvé	to find (again)/ to rediscover
nature	nature
rappeler	to call again/ to call back
énergie	energy (quantity that denotes the ability to do work)
pierre	stone (substance)
utilise	to use/ to utilize
pression	pressure
chaussures	shoe
faite	past participle of faire
histoires	story
sarah	a female given name
marié	to marry/ to marry off/ to perform or cause the marriage of
espace	space
soient	to be
nick
portable	portable
préparer	to prepare
nécessaire	necessary
court	short
offrir	to offer/ to provide
will
ai-je
tony
envers	reverse
bain	bath
charge	load/ burden
mary
harry
jim
ennemi	enemy
arrivent	to arrive (often followed by a location)
immédiatement	immediately
finalement	finally/ last/ lastly
énorme	enormous/ huge
grand-père	grandfather
test	test/ a cupel or cupelling hearth in which precious metals are…
gagne	to win
réfléchir	to reflect
victimes	victim
chanter	to sing
futur	future
lâche	to release/ to loosen/ to let go
mademoiselle	A form of address or title for an unmarried woman: Miss
copain	friend/ chum/ mate (UK)/ pal/ buddy
enlever	to remove/ take off/ take away/ clear
pensez-vous
retrouve	to find (again)/ to rediscover
épouser	to marry/ to wed
fleurs	flower/ bloom/ blossom/ collectively/ the reproductive organs and…
salope	slut (promiscuous woman)
aies	to have/ to own/ to possess/ to get
gosse	child/ kid
arranger	to arrange
riche	rich (possessing wealth)
faits	fact
ancien	old/ former/ ex- (no longer current)
stop	stop!
accepter	to accept
restes	rest/ remainder
nouveaux	new/ novel
sauter	to jump/ leap
suspect	suspicious/ suspect
vies	life/ the state of organisms (organic beings) prior to death
durant	to last (for)
invité	to invite
politique	political
dents	tooth
patient	patient
repas	meal/ repast
urgence	emergency/ urgency
cartes	card
jambes	leg
conversation	conversation
telle	such
bus	bus
to	variant of tô
tourner	to turn (left/ right etc.)
toucher	the act of touching (see below)
mémoire	memory
série	series
mariée	married
contraire	opposite
vent	wind
taille	the act of cutting/ pruning/ trimming
donnez-moi
trouves	to find/ to retrieve something lost/ turn up something hidden/ or…
celui-là	that one
chat	cat (feline)
continuez	to continue
contrat	contract
couteau	knife
double	double (all senses)/ two
dure	inflection of durer:
carrière	racecourse
excuse-moi	excuse me?
ray
regardé	to look at
descendre	to go down
université	university (institution of higher education)
sentiments	a sentiment/ general thought/ sense or feeling
papier	paper (A material used for writing or printing on/ made from…
remarqué	past participle of remarquer
noms	name
vécu	to live
courage	courage
beauté	beauty
bu	to drink
tais-toi	to be quiet/ to be silent
après-midi	afternoon
excellent	excellent/ splendid
assieds-toi	to sit (someone) down/ to seat/ make sit
richard	a male given name/ equivalent to English Richard
propres	own
parmi	among/ amongst
forte	feminine singular of fort
étant	to be
couple	two partners in a romantic or sexual relationship
aiment	to love (usually of a person/ otherwise the meaning is closer to…
permis	to permit/ to allow (to grant permission or access)
différence	difference
faudrait	to need/ have to/ to be necessary (that)
course	run/ running
humains	human
dégage	to free (someone or something)
mille	thousand/ one thousand/ a thousand
accès	access
cible	target
joyeux	joyful/ happy
bonheur	goodhap/ good fortune
aimait	to love (usually of a person/ otherwise the meaning is closer to…
manqué	to lack/ to be lacking in
action	action/ act/ deed
steve
aidé	to help/ to aid
vouliez	to want/ wish/ desire
trouvez	to find/ to retrieve something lost/ turn up something hidden/ or…
films	movie/ film
emmène	to take off/ take away or out
marie	Mary (Biblical figure)
taxi	taxi
restaurant	restaurant
crise	crisis
piste	track or trail (left by an animal or person)
dernières	last
puisque	since/ because
blanche	feminine singular of blanc
coupe	goblet/ cup
secrets	secret
prince	prince
marrant	to hoe (dig using a hoe)
raisons	reason (cause)
refuse	inflection of refuser:
apporté	to bring (something)
cassé	to break
lors	then/ at that time
mettez	to put/ to place
dis-lui
tuée	past participle of tuer
maladie	illness/ disease
mienne	(of) mine/ my own
rentré	to go back/ to re-enter
week-end	weekend/ synonym of fin de semaine
excuses	excuse
km
alcool	alcohol/ especially domestic/ medical/ methylated spirits
voudrait	to want/ wish/ desire
fil	yarn/ thread/ wire
rends	to give back
quitte	to discharge somebody from an obligation
couché	to lay/ to lay down
disons	to say/ to tell (to express through speech)
totalement	totally
claire	feminine singular of clair
it
londres	London (the capital city of the United Kingdom/ the capital city…
remercier	to thank (someone)
mêmes	same
partis	to share/ to share out/ to divide
pensait	to think/ reflect/ concentrate one's mind on something
île	island
tommy
remercie	inflection of remercier:
caméra	video camera
pensent	to think/ reflect/ concentrate one's mind on something
suis-je
pleurer	to cry/ to weep/ to shed tears
régler	to sort out/ to settle (a problem/ a bill)
ouvrez	to open
entier	whole
foutu	to do/ to fuck around with/ to dick around/ to fritter/ to tinker
types	type/ sort/ kind
fermer	to shut
animaux	animal
dise	to say/ to tell (to express through speech)
image	picture/ image
étage	floor/ storey
rejoindre	to join/ to join up
soldats	soldier
amuser	to amuse/ to entertain
points	point (small mark)
suivi	to follow (literal sense)
oubliez	to forget
langue	tongue
direction	direction
frais	fresh (recently produced/ unspoiled)
veuillez	to want/ wish/ desire
miss
soldat	soldier
couleur	color/colour
bouger	to move
frappé	beaten/ hit
frapper	to hit/ to strike/ to bash
venait	to come (to move from one place to another that is nearer the speaker)
raté	to miss (an event or a thing)
évidemment	of course/ evidently/ obviously
sacré	to crown
clés	key (device for unlocking)
mentir	to lie (say something untrue)
épouse	spouse
troisième	third
johnny
amy
jésus	Jesus
faible	weak
ryan
afin	to
bleu	blue
failli	to almost do something
courir	to run
américain	of or pertaining to America/ American
détails	detail (something small enough to escape casual notice/ or a…
pont	bridge
gay	gay (homosexual person)
regarde-moi
jake
billy
attraper	to trap (to capture in a trap)
papiers	paper (A material used for writing or printing on/ made from…
poisson	fish (marine animal)
lui-même	himself/ itself
wow	wow (expression of excitement/ pleasure/ surprise)/ yay/ yippie/ yahoo
chiens	dog
date	date (point in time)
intention	intention
procureur	representative/ agent
goût	taste/ flavour
pourras	can/ to be able to
shérif	sheriff (all meanings)
sais-tu
arrêt	stopping/ checking/ arrest (in development/ growth/ machinery etc.)
sourire	to smile
lait	milk
chasse	hunt/ hunting
signal	signal
parlait	to speak/ talk
destin	destiny/ fate
marre	to hoe (dig using a hoe)
français	French
princesse	princess
paie	to pay (for)
foi	Faith.
chier	to shit/ defecate
dois-je
présence	presence
doigts	finger
partenaire	partner
quelles	which
daniel	Daniel (biblical book and prophet)
préféré	to prefer
adieu	farewell/ adieu
costume	a style of dress characteristic of a particular country/ period or…
entreprise	company/ business
utile	useful
calme-toi
lien	tie/ bond
unique	unique
appartient	third-person singular present indicative of appartenir
attendant	present participle of attendre
amené	to bring (a person)/ take/ fetch/ give a lift/ give a ride
moindre	small
quels	which
amener	to bring (a person)/ take/ fetch/ give a lift/ give a ride
amène	to bring (a person)/ take/ fetch/ give a lift/ give a ride
enfoiré	dickhead/ fuckhead/ shithead
recherches	research
discours	speech
données	datum (item of data)
robert	a male given name/ feminine equivalent Roberte/ equivalent to…
art	art
appelles	to call (out)
salaud	slut (promiscuous woman)
penses-tu
magie	magic
bouteille	bottle (container/ typically made of glass or plastic and having a…
justement	precisely/ exactly/ accurately
